COSERID	Duracion_estandar
106	5.5
107	6
109	3.5
204	8
211	7
214	6
222	7
310	8.5
404	7.5
506	4.5
509	6
528	3.5
588	9.5
604	4
609	3.5
614	3.5
716	4
723	9
726	3.5
728	7
922	7
924	5
934	7.5
959	11
1014	3
1015	11
1020	7
1023	3
1107	4
1116	4
1205	5.5
1212	3
1219	4
1228	2.5
1232	4.5
1307	8.5
1401	3.5
1404	4
1414	5.5
1417	6.5
1514	3
1607	4.5
1636	8
1834	8
1902	5
1907	4
1921	7
2001	5.5
2004	4
2122	5.5
2206	6.5
2207	8.5
2222	4.5
2229	4.5
2301	6.5
2303	5.5
2314	4
2401	9
2402	6
2403	8
2501	13
2506	7.5
2512	4
2515	3
2606	5
2614	4
2627	3.5
2637	4.5
2644	6.5
2801	4
2803	5.5
2907	10.5
2910	4.5
2914	6
2915	5
3001	7.5
3107	6.5
3203	8
3209	2
3222	5
3228	3
3301	5.5
3302	5.5
3303	4.5
3402	4
3412	5
3414	5.5
3423	6
3426	5
3601	4.5
3610	4
3614	8.5
3701	4
3706	5
3712	4
3806	6.5
3901	8.5
3916	5.5
3923	4.5
3924	6
4102	6.5
4108	5
4117	7
4128	3.5
4206	4
4214	4.5
4227	5
4230	4
4301	4
4310	9
4401	2.5
4407	3
4417	4
4419	3
4421	4
4503	5
4506	4
4508	8
4602	5.5
4613	4.5
4617	4
4706	3
4714	4
4719	6
4720	4
304	4
425	5
1102	4
1308	5
1503	6
1838	6
3002	5
3814	5
3109	5
103	4
607	3.5
939	4
1012	4
1603	3
1634	5.5
1901	3.5
2321	3
3214	4.5
3611	3
3707	5
4218	4.5
4403	3
4501	7
4611	3.5
