CuestionarioID	EjemploID	Video	Verbo_en_el_cuestionario	Reflexivo	Verbo	Tipo_semantico	Tipo_sintactico
QT006	1194	76	Olvidarse_(las_llaves)	Si	olvidar		Transitivo
QT006	1196	76	Olvidarse_(las_llaves)	No	dejar		Transitivo
QT007	1643	76	Olvidarse_(las_llaves)	Si	olvidar		Transitivo
QT008	2134	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT010	2943	76	Olvidarse_(las_llaves)	Si	esquecer		Intransitivo
QT010	2944	76	Olvidarse_(las_llaves)	Si	olvidar		Transitivo
QT010	2946	76	Olvidarse_(las_llaves)	No	esquecer		Intransitivo
QT011	3402	76	Olvidarse_(las_llaves)	No	olvidar		Transitivo
QT016	4525	76	Olvidarse_(las_llaves)	No	olvidar		Transitivo
QT017	4975	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT018	5510	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT018	5511	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT018	5512	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT019	6009	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT020	6477	76	Olvidarse_(las_llaves)	Si	esquecer		NA
QT020	6478	76	Olvidarse_(las_llaves)	Si	olvidar		NA
QT020	6479	76	Olvidarse_(las_llaves)	Si	olvidar		NA
QT021	7135	76	Olvidarse_(las_llaves)	No	esquecer		Transitivo
QT022	7532	76	Olvidarse_(las_llaves)	Si	olvidar		Transitivo
QT022	7533	76	Olvidarse_(las_llaves)	No	esquecer		Intransitivo
QT022	7534	76	Olvidarse_(las_llaves)	Si	olvidar		NA
QT022	7535	76	Olvidarse_(las_llaves)	No	esquecer		Intransitivo
QT023	7981	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT024	8442	76	Olvidarse_(las_llaves)	Si	olvidar		NA
QT024	8443	76	Olvidarse_(las_llaves)	No	esquecer		NA
QT024	8444	76	Olvidarse_(las_llaves)	Si	olvidar		NA
QT024	8445	76	Olvidarse_(las_llaves)	Si	olvidar		NA
QT024	8446	76	Olvidarse_(las_llaves)	Si	olvidar		NA
QT026	8870	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT027	9450	76	Olvidarse_(las_llaves)	Si	dejar		Transitivo
QT027	9451	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT028	9831	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT030	10316	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT032	10828	76	Olvidarse_(las_llaves)	Si	dejar		Transitivo
QT033	11371	76	Olvidarse_(las_llaves)	No	olvidar		NA
QT033	11376	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT034	11895	76	Olvidarse_(las_llaves)	Si	dejar		Transitivo
QT036	12341	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT037	12883	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT038	13515	76	Olvidarse_(las_llaves)	Si	olvidar		Transitivo
QT041	13927	76	Olvidarse_(las_llaves)	Si	dejar		Transitivo
QT044	14339	76	Olvidarse_(las_llaves)	No	olvidar		Transitivo
QT044	14340	76	Olvidarse_(las_llaves)	No	olvidar		Transitivo
QT044	14341	76	Olvidarse_(las_llaves)	No	olvidar		Transitivo
QT045	14763	76	Olvidarse_(las_llaves)	Si	esquecer		NA
QT045	14764	76	Olvidarse_(las_llaves)	Si	olvidar		Transitivo
QT046	15224	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT046	15225	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT042	15881	76	Olvidarse_(las_llaves)	Si	olvidar		Transitivo
QT043	16256	76	Olvidarse_(las_llaves)	Si	dejar		Transitivo
QT025	16585	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT039	18586	76	Olvidarse_(las_llaves)	Si	dejar		Transitivo
QT039	18587	76	Olvidarse_(las_llaves)	No	olvidar		Transitivo
QT040	18923	76	Olvidarse_(las_llaves)	No	olvidar		Transitivo
QT040	18924	76	Olvidarse_(las_llaves)	No	olvidar		Transitivo
QT012	19298	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
QT015	19643	76	Olvidarse_(las_llaves)	Si	olvidar		Intransitivo
